"issue_id","id"
1880,605917758
2054,559950738
634,548862241
2195,848659596
2173,799892427
2067,582776457
1445,113904762
1242,41065823
1723,352535679
1573,200316396
2127,675368909
45,41064848
1832,417447774
2101,630227241
2308,1178912777
1697,322450165
1804,400427796
1682,308639319
2153,720465224
1881,452209938
1464,411732614
2338,1234952847
1971,523669366
2106,638486734
1835,419170380
1850,534248557
1775,385506870
975,92592449
1843,420453474
1785,389128308
1748,366242603
1740,360709386
1798,424062550
2096,619253635
1521,408787679
1791,393861394
1603,228228682
1772,383431101
1873,505664524
1543,175903806
1801,399773482
1836,419155227
2050,563233975
1876,447865466
1624,242477075
211,385611735
2118,699603411
1875,447831505
1998,545837080
2087,609752910
662,364894137
2160,752659928
1818,410542305
1741,360757115
2362,1315918703
2001,548863246
2229,909437239
1768,381666920
2233,924976279
1718,351521405
1424,112918100
2046,552646011
1742,377793584
1933,497994103
1276,41065948
219,1048777361
1829,415509424
1950,513893615
2179,807551195
19,41064746
2131,687041445
1457,121058851
1852,432347986
1696,322350385
1713,347049752
2204,859466567
1851,433859914
205,531039020
797,534234294
1549,181981317
1753,370574713
1806,401746864
1800,399579227
1827,415426896
1820,410373413
552,1048777363
2057,559770170
1940,505230297
1907,466700090
1757,373626560
2178,806555459
1422,99838230
2102,631758489
1477,131819148
1793,394700433
1708,354069936
1934,500010458
2058,559976678
2154,735235574
1846,616590683
1823,427632576
2105,638163051
1854,432795044
56,362981266
2180,811897773
1868,442842864
1544,378791552
799,1248165117
